Inviato,Ricevuto,PackSize,Test,RTT,
55.157587,55.176105,8,1M,18518,
55.280972,55.304981,16,1M,24009,
55.355254,55.366878,32,1M,11624,
55.415262,55.435179,64,1M,19917,
55.485302,55.497071,128,1M,11769,
55.545352,55.564861,256,1M,19509,
55.615413,55.629836,512,1M,14423,
55.684852,55.699854,1024,1M,15002,
55.745761,55.765081,1500,1M,19320,
0.415932,0.427596,8,8M,11664,
0.512864,0.530783,16,8M,17919,
0.584977,0.604877,32,8M,19900,
0.693094,0.705428,64,8M,12334,
0.809085,0.821024,128,8M,11939,
0.874893,0.946992,256,8M,72099,
0.995699,1.14628,512,8M,150581,
1.91170,1.110168,1024,8M,18998,
1.217174,1.235692,1500,8M,18518,
5.729376,5.745603,8,10M,16227,
5.837013,5.860970,16,10M,23957,
5.941064,5.953008,32,10M,11944,
6.33182,6.51071,64,10M,17889,
6.137078,6.161097,128,10M,24019,
6.254740,6.270874,256,10M,16134,
6.365016,6.384738,512,10M,19722,
6.473017,6.489823,1024,10M,16806,
6.580948,6.600326,1500,10M,19378,
10.924925,10.945444,8,80M,20519,
11.37154,11.73965,16,80M,36811,
11.181129,11.217191,32,80M,36062,
11.331386,11.379672,64,80M,48286,
11.512115,11.571290,128,80M,59175,
11.697472,11.763632,256,80M,66160,
11.901624,11.973686,512,80M,72062,
12.123322,12.213229,1024,80M,89907,
12.367231,12.469173,1500,80M,101942,
23.254719,23.269166,8,1M,14447,
23.328786,23.350878,16,1M,22092,
23.424739,23.435111,32,1M,10372,
23.494683,23.505555,64,1M,10872,
23.564670,23.575681,128,1M,11011,
23.634736,23.645832,256,1M,11096,
23.704757,23.724223,512,1M,19466,
23.775900,23.795293,1024,1M,19393,
23.854749,23.870267,1500,1M,15518,
28.495674,28.515366,8,8M,19692,
28.596744,28.622717,16,8M,25973,
28.676689,28.694790,32,8M,18101,
28.772762,28.790770,64,8M,18008,
28.880770,28.910739,128,8M,29969,
28.964461,29.16798,256,8M,203519,
29.64921,29.79442,512,8M,14521,
29.164805,29.184840,1024,8M,20035,
29.270724,29.306803,1500,8M,36079,
33.777114,33.797073,8,10M,19959,
33.892758,33.916692,16,10M,23934,
33.978648,34.2752,32,10M,296552,
34.55092,34.84758,64,10M,29666,
34.138759,34.155454,128,10M,16695,
34.220769,34.238718,256,10M,17949,
34.310858,34.340686,512,10M,29828,
34.410688,34.440854,1024,10M,30166,
34.526641,34.556685,1500,10M,30044,
38.994775,39.10772,8,80M,112945,
39.75508,39.93051,16,80M,17543,
39.206903,39.268313,32,80M,61410,
39.404882,39.465718,64,80M,60836,
39.615827,39.681759,128,80M,65932,
39.830546,39.914773,256,80M,84227,
40.53723,40.149439,512,80M,95716,
40.317064,40.430061,1024,80M,112997,
40.620712,40.747784,1500,80M,127072,
26.86565,26.104372,8,1M,17807,
26.186032,26.212021,16,1M,25989,
26.266004,26.284116,32,1M,18112,
26.334521,26.345740,64,1M,11219,
26.394585,26.414149,128,1M,19564,
26.465156,26.484078,256,1M,18922,
26.534614,26.554250,512,1M,19636,
26.604201,26.624151,1024,1M,19950,
26.674216,26.689636,1500,1M,15420,
32.389976,32.404462,8,8M,14486,
32.513844,32.525777,16,8M,11933,
32.574674,32.646028,32,8M,71354,
32.694151,32.705913,64,8M,11762,
32.785973,32.803693,128,8M,17720,
32.916005,32.933759,256,8M,17754,
33.45907,33.63805,512,8M,17898,
33.180078,33.198916,1024,8M,18838,
33.305965,33.324474,1500,8M,18509,
36.626243,36.644464,8,10M,18221,
36.729974,36.760227,16,10M,30253,
36.818025,36.848035,32,10M,30010,
36.915937,36.940029,64,10M,24092,
36.993987,37.36096,128,10M,366973,
37.84446,37.96029,256,10M,11583,
37.169846,37.185956,512,10M,16110,
37.264082,37.287980,1024,10M,23898,
37.371930,37.389971,1500,10M,18041,
41.864655,41.884459,8,80M,19804,
41.962166,41.992617,16,80M,30451,
42.88236,42.130582,32,80M,42346,
42.264718,42.312638,64,80M,47920,
42.438515,42.498874,128,80M,60359,
42.630359,42.702298,256,80M,71939,
42.840650,42.918835,512,80M,78185,
43.74210,43.164720,1024,80M,90510,
43.330889,43.432493,1500,80M,101604,
51.107976,51.124489,8,1M,16513,
51.210192,51.233638,16,1M,23446,
51.293797,51.305645,32,1M,11848,
51.354288,51.365672,64,1M,11384,
51.414263,51.425707,128,1M,11444,
51.474459,51.485670,256,1M,11211,
51.534390,51.553480,512,1M,19090,
51.604338,51.624269,1024,1M,19931,
51.674439,51.694399,1500,1M,19960,
52.784437,52.796063,8,8M,11626,
52.855728,52.875800,16,8M,20072,
52.953837,52.964044,32,8M,10207,
53.59920,53.74000,64,8M,14080,
53.183823,53.195793,128,8M,11970,
53.253534,53.317886,256,8M,64352,
53.374051,53.445845,512,8M,71794,
53.503724,53.561893,1024,8M,58169,
53.623720,53.639246,1500,8M,15526,
58.64495,58.83959,8,10M,19464,
58.163689,58.193734,16,10M,30045,
58.287793,58.305745,32,10M,17952,
58.403763,58.415759,64,10M,11996,
58.515651,58.533761,128,10M,18110,
58.623811,58.643808,256,10M,19997,
58.727654,58.743698,512,10M,16044,
58.833823,58.848947,1024,10M,15124,
58.939810,58.959362,1500,10M,19552,
3.284710,3.303999,8,80M,19289,
3.392188,3.428459,16,80M,36271,
3.530161,3.572388,32,80M,42227,
3.679974,3.728490,64,80M,48516,
3.848000,3.901961,128,80M,53961,
4.28044,4.94232,256,80M,66188,
4.226150,4.304019,512,80M,77869,
4.429975,4.514108,1024,80M,84133,
4.670066,4.770203,1500,80M,100137,
55.277089,55.295288,8,1M,18199,
55.379203,55.403190,16,1M,23987,
55.469007,55.483672,32,1M,14665,
55.533182,55.544929,64,1M,11747,
55.593192,55.604914,128,1M,11722,
55.653196,55.664989,256,1M,11793,
55.713237,55.727650,512,1M,14413,
55.773245,55.793146,1024,1M,19901,
55.843384,55.863345,1500,1M,19961,
0.525382,0.545437,8,8M,20055,
0.632910,0.656976,16,8M,24066,
0.712738,0.723230,32,8M,10492,
0.800863,0.813141,64,8M,12278,
0.904951,0.934963,128,8M,30012,
0.983432,1.36928,256,8M,385848,
1.83497,1.97938,512,8M,14441,
1.182907,1.194970,1024,8M,12063,
1.243676,1.310888,1500,8M,67212,
5.803978,5.823455,8,10M,19477,
5.903753,5.923495,16,10M,19742,
5.993627,6.13530,32,10M,1401673,
6.103595,6.124006,64,10M,20411,
6.213850,6.233646,128,10M,19796,
6.314369,6.333766,256,10M,19397,
6.422999,6.438126,512,10M,15127,
6.512897,6.533776,1024,10M,20879,
6.603559,6.618776,1500,10M,15217,
6.705276,6.723663,8,80M,18387,
6.833740,6.869438,16,80M,35698,
6.971314,7.13190,32,80M,160586,
7.115061,7.169104,64,80M,54043,
7.289469,7.343511,128,80M,54042,
7.485558,7.551738,256,80M,66180,
7.707901,7.785413,512,80M,77512,
7.935396,8.25030,1024,80M,314904,
8.193968,8.295950,1500,80M,101982,
52.381507,52.403037,8,1M,21530,
52.494801,52.518923,16,1M,24122,
52.570992,52.582767,32,1M,11775,
52.631432,52.642743,64,1M,11311,
52.691381,52.702779,128,1M,11398,
52.751604,52.762808,256,1M,11204,
52.811568,52.830785,512,1M,19217,
52.881536,52.901442,1024,1M,19906,
52.951467,52.966448,1500,1M,14981,
57.641550,57.661583,8,8M,20033,
57.742820,57.766803,16,8M,23983,
57.820967,57.832723,32,8M,11756,
57.894851,57.912902,64,8M,18051,
57.961566,57.996966,128,8M,35400,
58.51251,58.62735,256,8M,11484,
58.130837,58.160821,512,8M,29984,
58.211637,58.226260,1024,8M,14623,
58.296971,58.316705,1500,8M,19734,
2.902858,2.921553,8,10M,18695,
3.16731,3.28698,16,10M,11967,
3.92745,3.116808,32,10M,24063,
3.170626,3.181193,64,10M,10567,
3.246709,3.258732,128,10M,12023,
3.326829,3.356816,256,10M,29987,
3.436825,3.472666,512,10M,35841,
3.542723,3.572770,1024,10M,30047,
3.646681,3.676828,1500,10M,30147,
8.120929,8.132950,8,80M,12021,
8.224978,8.261775,16,80M,36797,
8.357022,8.394428,32,80M,37406,
8.519334,8.568102,64,80M,48768,
8.687282,8.741816,128,80M,54534,
8.880158,8.945233,256,80M,65075,
9.83764,9.160986,512,80M,77222,
9.306418,9.394229,1024,80M,87811,
9.549460,9.652058,1500,80M,102598,
13.972239,13.990210,8,1M,17971,
14.66043,14.91977,16,1M,25934,
14.149856,14.161892,32,1M,12036,
14.219935,14.231857,64,1M,11922,
14.280398,14.299965,128,1M,19567,
14.350587,14.370043,256,1M,19456,
14.420534,14.439787,512,1M,19253,
14.490558,14.505097,1024,1M,14539,
14.551052,14.570417,1500,1M,19365,
19.202112,19.220405,8,8M,18293,
19.296388,19.319848,16,8M,23460,
