frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"1","Jul  4, 2024 10:44:55.112189978 CEST","172.24.204.146","10.22.255.154","6","60","74"
"2","Jul  4, 2024 10:44:55.125601078 CEST","10.22.255.154","172.24.204.146","6","60","74"
"3","Jul  4, 2024 10:44:55.125638978 CEST","172.24.204.146","10.22.255.154","6","52","66"
"4","Jul  4, 2024 10:44:55.125689578 CEST","172.24.204.146","10.22.255.154","6","89","103"
"5","Jul  4, 2024 10:44:55.137124078 CEST","10.22.255.154","172.24.204.146","6","52","66"
"6","Jul  4, 2024 10:44:55.137124078 CEST","10.22.255.154","172.24.204.146","6","53","67"
"7","Jul  4, 2024 10:44:55.137135378 CEST","172.24.204.146","10.22.255.154","6","52","66"
"8","Jul  4, 2024 10:44:55.137510078 CEST","172.24.204.146","10.22.255.154","6","56","70"
"9","Jul  4, 2024 10:44:55.137519478 CEST","172.24.204.146","10.22.255.154","6","195","209"
"10","Jul  4, 2024 10:44:55.138624878 CEST","172.24.204.146","10.22.255.154","6","60","74"
"11","Jul  4, 2024 10:44:55.145394278 CEST","10.22.255.154","172.24.204.146","6","52","66"
"12","Jul  4, 2024 10:44:55.157423577 CEST","10.22.255.154","172.24.204.146","6","60","74"
"13","Jul  4, 2024 10:44:55.157452077 CEST","10.22.255.154","172.24.204.146","6","52","66"
"14","Jul  4, 2024 10:44:55.157452377 CEST","10.22.255.154","172.24.204.146","6","52","66"
"15","Jul  4, 2024 10:44:55.157452577 CEST","10.22.255.154","172.24.204.146","6","53","67"
"16","Jul  4, 2024 10:44:55.157480777 CEST","172.24.204.146","10.22.255.154","6","52","66"
"17","Jul  4, 2024 10:44:55.157636577 CEST","172.24.204.146","10.22.255.154","6","60","74"
"18","Jul  4, 2024 10:44:55.157674077 CEST","172.24.204.146","10.22.255.154","6","60","74"
"19","Jul  4, 2024 10:44:55.175732577 CEST","10.22.255.154","172.24.204.146","6","60","74"
"20","Jul  4, 2024 10:44:55.175746977 CEST","10.22.255.154","172.24.204.146","6","52","66"
"21","Jul  4, 2024 10:44:55.175747577 CEST","10.22.255.154","172.24.204.146","6","60","74"
"22","Jul  4, 2024 10:44:55.175796177 CEST","172.24.204.146","10.22.255.154","6","52","66"
"23","Jul  4, 2024 10:44:55.175877477 CEST","172.24.204.146","10.22.255.154","6","52","66"
