frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"1","Jul  4, 2024 10:46:26.041100065 CEST","172.24.204.146","10.22.255.154","6","60","74"
"2","Jul  4, 2024 10:46:26.054392160 CEST","10.22.255.154","172.24.204.146","6","60","74"
"3","Jul  4, 2024 10:46:26.054428460 CEST","172.24.204.146","10.22.255.154","6","52","66"
"4","Jul  4, 2024 10:46:26.054533060 CEST","172.24.204.146","10.22.255.154","6","89","103"
"5","Jul  4, 2024 10:46:26.065851256 CEST","10.22.255.154","172.24.204.146","6","52","66"
"6","Jul  4, 2024 10:46:26.065851356 CEST","10.22.255.154","172.24.204.146","6","53","67"
"7","Jul  4, 2024 10:46:26.065864956 CEST","172.24.204.146","10.22.255.154","6","52","66"
"8","Jul  4, 2024 10:46:26.065963356 CEST","172.24.204.146","10.22.255.154","6","56","70"
"9","Jul  4, 2024 10:46:26.065967656 CEST","172.24.204.146","10.22.255.154","6","195","209"
"10","Jul  4, 2024 10:46:26.068699055 CEST","172.24.204.146","10.22.255.154","6","60","74"
"11","Jul  4, 2024 10:46:26.074143953 CEST","10.22.255.154","172.24.204.146","6","52","66"
"12","Jul  4, 2024 10:46:26.086325348 CEST","10.22.255.154","172.24.204.146","6","60","74"
"13","Jul  4, 2024 10:46:26.086416948 CEST","10.22.255.154","172.24.204.146","6","52","66"
"14","Jul  4, 2024 10:46:26.086417248 CEST","10.22.255.154","172.24.204.146","6","52","66"
"15","Jul  4, 2024 10:46:26.086417348 CEST","10.22.255.154","172.24.204.146","6","53","67"
"16","Jul  4, 2024 10:46:26.086427148 CEST","172.24.204.146","10.22.255.154","6","52","66"
"17","Jul  4, 2024 10:46:26.086629348 CEST","172.24.204.146","10.22.255.154","6","60","74"
"18","Jul  4, 2024 10:46:26.086631648 CEST","172.24.204.146","10.22.255.154","6","60","74"
"19","Jul  4, 2024 10:46:26.104093342 CEST","10.22.255.154","172.24.204.146","6","60","74"
"20","Jul  4, 2024 10:46:26.104142042 CEST","172.24.204.146","10.22.255.154","6","52","66"
"21","Jul  4, 2024 10:46:26.104144942 CEST","10.22.255.154","172.24.204.146","6","52","66"
"22","Jul  4, 2024 10:46:26.104145142 CEST","10.22.255.154","172.24.204.146","6","60","74"
"23","Jul  4, 2024 10:46:26.104169042 CEST","172.24.204.146","10.22.255.154","6","52","66"
"24","Jul  4, 2024 10:46:26.104272342 CEST","172.24.204.146","10.22.255.154","6","89","103"
"25","Jul  4, 2024 10:46:26.104528842 CEST","172.24.204.146","10.22.255.154","6","52","66"
"26","Jul  4, 2024 10:46:26.115991837 CEST","10.22.255.154","172.24.204.146","6","52","66"
"27","Jul  4, 2024 10:46:26.116026037 CEST","172.24.204.146","10.22.255.154","6","52","66"
"28","Jul  4, 2024 10:46:26.123906634 CEST","10.22.255.154","172.24.204.146","6","52","66"
"29","Jul  4, 2024 10:46:26.123958834 CEST","10.22.255.154","172.24.204.146","6","52","66"
"30","Jul  4, 2024 10:46:26.137462429 CEST","172.24.204.146","10.22.255.154","6","52","66"
"31","Jul  4, 2024 10:46:26.153893423 CEST","10.22.255.154","172.24.204.146","6","54","68"
"32","Jul  4, 2024 10:46:26.153905423 CEST","172.24.204.146","10.22.255.154","6","52","66"
"33","Jul  4, 2024 10:46:26.154232723 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
