Inviato,Ricevuto,PackSize,Traffico,RTT
45.697805,45.709943,8,100K,12138
45.798006,45.809466,16,100K,11460
45.898167,45.909445,32,100K,11278
45.998334,46.14048,64,100K,15286
46.98511,46.109014,128,100K,10503
46.198645,46.214104,256,100K,15459
46.298769,46.313599,512,100K,14830
46.398942,46.413767,1024,100K,14825
46.499115,46.513887,1500,100K,14772
46.599368,46.599429,8,100K,61
47.599612,47.599692,16,100K,80
48.599833,48.599909,32,100K,76
49.600062,49.600127,64,100K,65
50.600268,50.600324,128,100K,56
51.600437,51.600492,256,100K,55
52.600639,52.600698,512,100K,59
53.600767,53.600822,1024,100K,55
54.600888,54.600940,1500,100K,52
55.601109,55.601197,8,100K,88
5.601237,5.601310,16,100K,73
15.601418,15.601477,32,100K,59
25.601594,25.601666,64,100K,72
35.601759,35.601816,128,100K,57
45.601882,45.601939,256,100K,57
55.602058,55.602109,512,100K,51
5.602228,5.602282,1024,100K,54
15.602398,15.602449,1500,100K,51
47.146970,47.158103,8,1M,11133
47.247211,47.258508,16,1M,11297
47.347452,47.367984,32,1M,20532
47.447630,47.467071,64,1M,19441
47.547773,47.557639,128,1M,9866
47.647916,47.662570,256,1M,14654
47.748067,47.767254,512,1M,19187
47.848261,47.867765,1024,1M,19504
47.948430,47.967198,1500,1M,18768
48.48615,48.48661,8,1M,46
49.48843,49.48932,16,1M,89
50.49021,50.49067,32,1M,46
51.49239,51.49291,64,1M,52
52.49420,52.49473,128,1M,53
53.49654,53.49732,256,1M,78
54.49904,54.49964,512,1M,60
55.50114,55.50185,1024,1M,71
56.50300,56.50354,1500,1M,54
57.50560,57.50634,8,1M,74
7.50781,7.50858,16,1M,77
17.50973,17.51100,32,1M,127
27.51103,27.51166,64,1M,63
37.51294,37.51350,128,1M,56
47.51506,47.51572,256,1M,66
57.51684,57.51734,512,1M,50
7.51916,7.51977,1024,1M,61
17.52121,17.52164,1500,1M,43
39.663037,39.676571,8,8M,13534
39.763299,39.779030,16,8M,15731
39.863519,39.907056,32,8M,43537
39.963778,40.42925,64,8M,320853
40.64010,40.76388,128,8M,12378
40.164139,40.179037,256,8M,14898
40.264298,40.302932,512,8M,38634
40.364454,40.433191,1024,8M,68737
40.464624,40.482920,1500,8M,18296
40.564812,40.564851,8,8M,39
41.564997,41.565081,16,8M,84
42.565159,42.565234,32,8M,75
43.565387,43.565438,64,8M,51
44.565626,44.565677,128,8M,51
45.565854,45.565908,256,8M,54
46.566045,46.566098,512,8M,53
47.566273,47.566311,1024,8M,38
48.566472,48.566529,1500,8M,57
49.566659,49.566740,8,8M,81
59.566857,59.566960,16,8M,103
9.567036,9.567097,32,8M,61
19.567234,19.567280,64,8M,46
29.567420,29.567473,128,8M,53
39.567618,39.567678,256,8M,60
49.567792,49.567863,512,8M,71
59.567963,59.568002,1024,8M,39
9.568216,9.568275,1500,8M,59
30.198371,30.267615,8,10M,69244
30.298569,30.371449,16,10M,72880
30.398758,30.471496,32,10M,72738
30.498897,30.575385,64,10M,76488
30.599031,30.681491,128,10M,82460
30.699199,30.713975,256,10M,14776
30.799423,30.814722,512,10M,15299
30.899653,30.914578,1024,10M,14925
30.999865,31.19188,1500,10M,180677
31.100123,31.100174,8,10M,51
32.100306,32.100367,16,10M,61
33.100494,33.100544,32,10M,50
34.100645,34.100698,64,10M,53
35.100833,35.100915,128,10M,82
36.100995,36.101046,256,10M,51
37.101177,37.101223,512,10M,46
38.101369,38.101422,1024,10M,53
39.101546,39.101590,1500,10M,44
40.101777,40.101865,8,10M,88
50.101956,50.102036,16,10M,80
0.102142,0.102194,32,10M,52
10.102326,10.102376,64,10M,50
20.102517,20.102564,128,10M,47
30.102737,30.102786,256,10M,49
40.102942,40.103013,512,10M,71
50.103151,50.103194,1024,10M,43
0.103330,0.103403,1500,10M,73
21.701908,21.828226,8,20M,126318
27.568115,27.984677,8,20M,416562
33.518154,34.274268,8,20M,243886
41.121112,42.768979,8,20M,352133
49.364577,51.26718,8,20M,337859
27.715136,27.925352,8,20M,210216
28.215460,28.446059,16,20M,230599
28.715814,28.979455,32,20M,263641
29.216066,29.499679,64,20M,283613
29.716430,30.23400,128,20M,693030
30.216836,30.549796,256,20M,332960
30.717159,31.73297,512,20M,1043862
31.217517,31.599422,1024,20M,381905
31.718360,32.125698,1500,20M,592662
32.218660,32.315292,8,20M,96632
33.219457,33.219632,16,20M,175
34.219810,34.219910,32,20M,100
35.220146,35.220246,64,20M,100
36.220481,36.220578,128,20M,97
37.221310,37.221451,256,20M,141
38.221600,38.221710,512,20M,110
39.222030,39.222215,1024,20M,185
40.222427,40.222547,1500,20M,120
41.222715,41.377367,8,20M,154652
51.223090,51.223278,16,20M,188
1.223486,1.223771,32,20M,285
11.223939,11.224025,64,20M,86
21.224219,21.224339,128,20M,120
31.224479,31.224535,256,20M,56
41.224746,41.224855,512,20M,109
51.225135,51.225252,1024,20M,117
1.225403,1.225500,1500,20M,97
25.566732,25.759506,8,20M,192774
26.66969,26.281446,16,20M,214477
26.567178,26.807424,32,20M,240246
27.67442,27.339577,64,20M,272135
27.567691,27.863385,128,20M,295694
28.68005,28.389512,256,20M,321507
28.568213,28.905273,512,20M,337060
29.68763,29.435478,1024,20M,366715
29.569170,29.958792,1500,20M,389622
30.69434,30.137781,8,20M,68347
31.69726,31.69860,16,20M,134
32.70111,32.70214,32,20M,103
33.70351,33.70457,64,20M,106
34.70860,34.70961,128,20M,101
35.71263,35.71398,256,20M,135
36.71564,36.71728,512,20M,164
37.72069,37.72170,1024,20M,101
38.72780,38.72888,1500,20M,108
39.73077,39.99626,8,20M,26549
49.73457,49.73638,16,20M,181
59.73763,59.73943,32,20M,180
9.74155,9.74300,64,20M,145
19.74517,19.74696,128,20M,179
29.74894,29.75151,256,20M,257
39.75152,39.75229,512,20M,77
49.75503,49.75628,1024,20M,125
59.75913,59.76078,1500,20M,165
17.763743,17.763965,8,20M,222
18.264036,18.264110,16,20M,74
18.764303,18.764402,32,20M,99
19.264598,19.264824,64,20M,226
19.765005,19.765110,128,20M,105
20.265430,20.265545,256,20M,115
20.765777,20.765895,512,20M,118
21.266145,21.266260,1024,20M,115
21.766490,21.766587,1500,20M,97
22.266772,22.266885,8,20M,113
23.267250,23.267510,16,20M,260
24.267744,24.267859,32,20M,115
