Inviato,Ricevuto,PackSize,Traffico,RTT
0.623046,0.639924,8,0M,16878
1.423605,1.440632,16,0M,17027
2.223919,2.239940,32,0M,16021
3.24598,3.39783,64,0M,15185
3.824804,3.839742,128,0M,14938
4.625076,4.640477,256,0M,15401
5.425562,5.444905,512,0M,19343
6.225886,6.244870,1024,0M,18984
7.26549,7.44110,1500,0M,17561
7.826846,7.826925,8,0M,79
8.827470,8.827538,16,0M,68
9.827707,9.827772,32,0M,65
10.827982,10.828055,64,0M,73
11.828164,11.828228,128,0M,64
12.828655,12.828750,256,0M,95
13.828921,13.828985,512,0M,64
14.829612,14.829685,1024,0M,73
15.830023,15.830116,1500,0M,93
16.830390,16.830523,8,0M,133
26.830629,26.830745,16,0M,116
36.831328,36.831396,32,0M,68
46.832123,46.832209,64,0M,86
56.832388,56.832484,128,0M,96
6.832661,6.832744,256,0M,83
16.833114,16.833183,512,0M,69
26.833367,26.833433,1024,0M,66
36.833594,36.833665,1500,0M,71
49.143393,49.143544,8,0M,151
49.943637,49.943696,16,0M,59
50.744126,50.744189,32,0M,63
51.544637,51.544713,64,0M,76
52.344945,52.345013,128,0M,68
53.145231,53.145299,256,0M,68
53.945791,53.945891,512,0M,100
54.746248,54.746467,1024,0M,219
55.546488,55.546551,1500,0M,63
56.346949,56.347103,8,0M,154
57.347538,57.347597,16,0M,59
58.348035,58.348198,32,0M,163
59.348307,59.348379,64,0M,72
0.348949,0.349028,128,0M,79
1.349232,1.349310,256,0M,78
2.349547,2.349656,512,0M,109
3.349904,3.350059,1024,0M,155
4.350168,4.350264,1500,0M,96
5.350466,5.350541,8,0M,75
15.351168,15.351238,16,0M,70
25.351417,25.351473,32,0M,56
35.351699,35.351778,64,0M,79
45.351967,45.352020,128,0M,53
55.352727,55.352791,256,0M,64
5.353117,5.353276,512,0M,159
15.353456,15.353629,1024,0M,173
25.353752,25.353833,1500,0M,81
51.354439,51.354722,8,0M,283
52.154834,52.154962,16,0M,128
52.955058,52.955119,32,0M,61
53.755381,53.755456,64,0M,75
54.555584,54.555648,128,0M,64
55.355860,55.355927,256,0M,67
56.156489,56.156695,512,0M,206
56.956890,56.957014,1024,0M,124
57.757141,57.757218,1500,0M,77
58.557667,58.557747,8,0M,80
59.557912,59.557984,16,0M,72
0.558363,0.558451,32,0M,88
1.558863,1.558918,64,0M,55
2.559593,2.559659,128,0M,66
3.560058,3.560125,256,0M,67
4.560388,4.560483,512,0M,95
5.560751,5.560825,1024,0M,74
6.561078,6.561168,1500,0M,90
7.561463,7.561585,8,0M,122
17.561719,17.561812,16,0M,93
27.562165,27.562282,32,0M,117
37.562623,37.562714,64,0M,91
47.563027,47.563136,128,0M,109
57.563275,57.563397,256,0M,122
7.563694,7.563783,512,0M,89
17.564059,17.564238,1024,0M,179
27.564275,27.564348,1500,0M,73
57.680491,57.681076,8,1M,585
2.928089,2.943153,8,1M,15064
3.728460,3.743119,16,1M,14659
4.529000,4.543466,32,1M,14466
5.329335,5.343463,64,1M,14128
6.129590,6.142849,128,1M,13259
6.929863,6.943641,256,1M,13778
7.730199,7.747788,512,1M,17589
8.530863,8.548135,1024,1M,17272
9.331106,9.348076,1500,1M,16970
10.132064,10.132207,8,1M,143
11.132827,11.132901,16,1M,74
12.133118,12.133190,32,1M,72
13.133458,13.133585,64,1M,127
14.133773,14.133885,128,1M,112
15.134373,15.134467,256,1M,94
16.134810,16.134916,512,1M,106
17.135047,17.135180,1024,1M,133
18.135430,18.135490,1500,1M,60
19.135646,19.135719,8,1M,73
29.135941,29.136011,16,1M,70
39.136168,39.136236,32,1M,68
49.136451,49.136527,64,1M,76
59.136706,59.136784,128,1M,78
