Container ID,Name,CPU %,Memory Usage,Memory %,Net I/O,Block I/O,PIDs
11d703fd14a6,oai-amf,0.03,24.38MiB / 31.09GiB,0.08,530kB / 725kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.31,21.7MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.34,20.86MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.32,21.18MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.8MiB / 31.09GiB,0.07,195kB / 329kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.55MiB / 31.09GiB,0.07,110MB / 113MB,0B / 0B,15
1d733de5658f,cn-agent,0.79,42.36MiB / 31.09GiB,0.13,20.8MB / 10MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.34,21.21MiB / 31.09GiB,0.07,552kB / 289kB,0B / 0B,7
88df3cf2f98e,mysql,0.77,405.7MiB / 31.09GiB,1.27,7.32MB / 18.6MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.43MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.48,46.35MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,41.8kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,157.38,753.6MiB / 31.09GiB,2.37,109MB / 110MB,280MB / 1.05GB,54
1ec32aa56724,r_agent,1.44,139.9MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,24.38MiB / 31.09GiB,0.08,531kB / 726kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.26,21.7MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.24,20.86MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.25,21.18MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.8MiB / 31.09GiB,0.07,195kB / 330kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.55MiB / 31.09GiB,0.07,110MB / 113MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.36MiB / 31.09GiB,0.13,20.9MB / 10MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.25,21.21MiB / 31.09GiB,0.07,553kB / 289kB,0B / 0B,7
88df3cf2f98e,mysql,0.21,405.7MiB / 31.09GiB,1.27,7.33MB / 18.7MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.43MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.32,46.13MiB / 31.09GiB,0.14,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,41.8kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,145.0,753.6MiB / 31.09GiB,2.37,109MB / 110MB,280MB / 1.05GB,54
1ec32aa56724,r_agent,1.59,140.1MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.03,24.38MiB / 31.09GiB,0.08,532kB / 728kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.21,21.73MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.22,20.88MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.3,21.08MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.84MiB / 31.09GiB,0.07,196kB / 331kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.3,22.57MiB / 31.09GiB,0.07,110MB / 113MB,0B / 0B,15
1d733de5658f,cn-agent,0.98,42.5MiB / 31.09GiB,0.13,20.9MB / 10.1MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.3,21.26MiB / 31.09GiB,0.07,555kB / 290kB,0B / 0B,7
88df3cf2f98e,mysql,0.68,405.7MiB / 31.09GiB,1.27,7.35MB / 18.7MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.43MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.1,47.03MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,4
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,167.81,753.6MiB / 31.09GiB,2.37,110MB / 110MB,280MB / 1.05GB,54
1ec32aa56724,r_agent,0.79,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,24.1MiB / 31.09GiB,0.08,533kB / 729kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.27,21.75MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.25,20.88MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.26,21.09MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.05,23.84MiB / 31.09GiB,0.07,196kB / 331kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.42,22.62MiB / 31.09GiB,0.07,110MB / 113MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.38MiB / 31.09GiB,0.13,20.9MB / 10.1MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.27,21.25MiB / 31.09GiB,0.07,556kB / 291kB,0B / 0B,7
88df3cf2f98e,mysql,0.16,405.7MiB / 31.09GiB,1.27,7.36MB / 18.7MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.43MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.23,46.45MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,167.82,753.6MiB / 31.09GiB,2.37,110MB / 111MB,280MB / 1.05GB,54
1ec32aa56724,r_agent,0.78,139.9MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.02,24.2MiB / 31.09GiB,0.08,534kB / 731kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.26,21.68MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.3,20.95MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.22,21.02MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.86MiB / 31.09GiB,0.07,196kB / 331kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.1,22.67MiB / 31.09GiB,0.07,110MB / 114MB,0B / 0B,15
1d733de5658f,cn-agent,0.75,42.38MiB / 31.09GiB,0.13,21MB / 10.1MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.27,21.29MiB / 31.09GiB,0.07,556kB / 291kB,0B / 0B,7
88df3cf2f98e,mysql,0.61,405.7MiB / 31.09GiB,1.27,7.37MB / 18.8MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.46MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.83,46.45MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,3
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,145.75,753.6MiB / 31.09GiB,2.37,110MB / 111MB,280MB / 1.06GB,54
1ec32aa56724,r_agent,0.64,139.9MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,24.2MiB / 31.09GiB,0.08,535kB / 732kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.21,21.68MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.28,20.95MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.21,21.02MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.86MiB / 31.09GiB,0.07,197kB / 332kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.1,22.67MiB / 31.09GiB,0.07,110MB / 114MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.39MiB / 31.09GiB,0.13,21MB / 10.1MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.22,21.29MiB / 31.09GiB,0.07,558kB / 292kB,0B / 0B,7
88df3cf2f98e,mysql,0.19,405.7MiB / 31.09GiB,1.27,7.38MB / 18.8MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.46MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.11,46.41MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,154.56,753.7MiB / 31.09GiB,2.37,110MB / 111MB,280MB / 1.06GB,54
1ec32aa56724,r_agent,1.16,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,24.21MiB / 31.09GiB,0.08,535kB / 733kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.21,21.69MiB / 31.09GiB,0.07,68.3kB / 32kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.19,20.92MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.21,21.04MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.72MiB / 31.09GiB,0.07,197kB / 333kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.43MiB / 31.09GiB,0.07,110MB / 114MB,0B / 0B,15
1d733de5658f,cn-agent,0.62,42.39MiB / 31.09GiB,0.13,21.1MB / 10.1MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.21,21.29MiB / 31.09GiB,0.07,559kB / 292kB,0B / 0B,7
88df3cf2f98e,mysql,0.39,405.7MiB / 31.09GiB,1.27,7.4MB / 18.9MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.46MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.11,46.35MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,4
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,144.78,753.7MiB / 31.09GiB,2.37,110MB / 111MB,280MB / 1.06GB,54
1ec32aa56724,r_agent,1.15,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,24.27MiB / 31.09GiB,0.08,537kB / 735kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.27,21.69MiB / 31.09GiB,0.07,68.4kB / 32.2kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.23,20.92MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.25,21.11MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.79MiB / 31.09GiB,0.07,198kB / 334kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.43MiB / 31.09GiB,0.07,110MB / 114MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.39MiB / 31.09GiB,0.13,21.1MB / 10.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.25,21.3MiB / 31.09GiB,0.07,560kB / 293kB,0B / 0B,7
88df3cf2f98e,mysql,0.23,405.7MiB / 31.09GiB,1.27,7.41MB / 18.9MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.47MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.1,46.34MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,1
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,139.77,753.8MiB / 31.09GiB,2.37,110MB / 111MB,280MB / 1.06GB,54
1ec32aa56724,r_agent,1.58,139.9MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.03,24.08MiB / 31.09GiB,0.08,538kB / 737kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.28,21.7MiB / 31.09GiB,0.07,68.5kB / 32.2kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.23,20.96MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.26,21.11MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.82MiB / 31.09GiB,0.07,198kB / 334kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.0,22.24MiB / 31.09GiB,0.07,110MB / 114MB,0B / 0B,15
1d733de5658f,cn-agent,0.89,42.52MiB / 31.09GiB,0.13,21.2MB / 10.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.26,21.31MiB / 31.09GiB,0.07,560kB / 293kB,0B / 0B,7
88df3cf2f98e,mysql,0.72,405.7MiB / 31.09GiB,1.27,7.43MB / 18.9MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.47MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,2.37,46.62MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,4
919d6ba5b496,nms-front-app,0.0,29.05MiB / 31.09GiB,0.09,42.3kB / 11.7kB,12.5MB / 4.1kB,25
b0ae58578f79,nms-db-sql,153.13,753.7MiB / 31.09GiB,2.37,111MB / 112MB,280MB / 1.06GB,54
1ec32aa56724,r_agent,0.93,140MiB / 31.09GiB,0.44,0B / 0B,57.8MB / 0B,49
11d703fd14a6,oai-amf,0.0,24.01MiB / 31.09GiB,0.08,539kB / 738kB,1.15MB / 0B,11
a6ce5eabed7a,oai-udr,0.2,21.7MiB / 31.09GiB,0.07,68.5kB / 32.2kB,184kB / 0B,7
22e323d21ae9,oai-ausf,0.17,20.96MiB / 31.09GiB,0.07,22.4kB / 8.1kB,164kB / 0B,7
e26a6b09c76b,oai-udm,0.16,21.11MiB / 31.09GiB,0.07,26.6kB / 13.4kB,328kB / 0B,7
5a15019934ad,oai-smf,0.0,23.82MiB / 31.09GiB,0.07,198kB / 335kB,737kB / 0B,13
8d36ba91e1cc,oai-spgwu-tiny,0.04,22.24MiB / 31.09GiB,0.07,110MB / 114MB,0B / 0B,15
1d733de5658f,cn-agent,0.01,42.4MiB / 31.09GiB,0.13,21.2MB / 10.2MB,0B / 0B,1
ed8946484f6a,oai-nrf,0.17,21.31MiB / 31.09GiB,0.07,562kB / 294kB,0B / 0B,7
88df3cf2f98e,mysql,0.12,405.7MiB / 31.09GiB,1.27,7.44MB / 19MB,188kB / 274MB,40
94885c8c6ca3,oai-ext-dn,0.0,14.47MiB / 31.09GiB,0.05,14.9kB / 0B,0B / 0B,3
e218b6f33de8,nms-api-app,1.21,46.25MiB / 31.09GiB,0.15,0B / 0B,37.3MB / 0B,1
