frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"35389","Jun 26, 2024 16:06:32.236780662 CEST","10.22.255.140","172.24.204.146","6","60","76"
"35394","Jun 26, 2024 16:06:32.236836362 CEST","172.24.204.146","10.22.255.140","6","52","68"
"35843","Jun 26, 2024 16:06:32.256389252 CEST","10.22.255.140","172.24.204.146","6","52","68"
"35844","Jun 26, 2024 16:06:32.256389652 CEST","10.22.255.140","172.24.204.146","6","60","76"
"35856","Jun 26, 2024 16:06:32.256930852 CEST","172.24.204.146","10.22.255.140","6","52","68"
"36055","Jun 26, 2024 16:06:32.268837846 CEST","10.22.255.140","172.24.204.146","6","52","68"
"36057","Jun 26, 2024 16:06:32.268908346 CEST","172.24.204.146","10.22.255.140","6","52","68"
"36174","Jun 26, 2024 16:06:32.276563942 CEST","10.22.255.140","172.24.204.146","6","52","68"
"58424","Jun 26, 2024 16:06:34.222197677 CEST","172.24.204.146","10.22.255.140","6","60","76"
"58698","Jun 26, 2024 16:06:34.236723470 CEST","10.22.255.140","172.24.204.146","6","60","76"
"58700","Jun 26, 2024 16:06:34.236790970 CEST","172.24.204.146","10.22.255.140","6","52","68"
"58707","Jun 26, 2024 16:06:34.237068470 CEST","172.24.204.146","10.22.255.140","6","84","100"
"58800","Jun 26, 2024 16:06:34.256209660 CEST","10.22.255.140","172.24.204.146","6","52","68"
"58801","Jun 26, 2024 16:06:34.256210560 CEST","10.22.255.140","172.24.204.146","6","84","100"
"58802","Jun 26, 2024 16:06:34.256252860 CEST","172.24.204.146","10.22.255.140","6","52","68"
"58822","Jun 26, 2024 16:06:34.256954060 CEST","172.24.204.146","10.22.255.140","6","52","68"
"58976","Jun 26, 2024 16:06:34.266773855 CEST","10.22.255.140","172.24.204.146","6","52","68"
"58979","Jun 26, 2024 16:06:34.266792455 CEST","172.24.204.146","10.22.255.140","6","52","68"
"73120","Jun 26, 2024 16:06:35.246827375 CEST","10.22.255.140","172.24.204.146","6","60","76"
"73124","Jun 26, 2024 16:06:35.246924375 CEST","172.24.204.146","10.22.255.140","6","52","68"
"73133","Jun 26, 2024 16:06:35.247455575 CEST","172.24.204.146","10.22.255.140","6","116","132"
"73246","Jun 26, 2024 16:06:35.286685858 CEST","10.22.255.140","172.24.204.146","6","52","68"
"87771","Jun 26, 2024 16:06:36.226448962 CEST","10.22.255.140","172.24.204.146","6","60","76"
"87772","Jun 26, 2024 16:06:36.226498962 CEST","172.24.204.146","10.22.255.140","6","52","68"
"87853","Jun 26, 2024 16:06:36.246565453 CEST","10.22.255.140","172.24.204.146","6","52","68"
"87854","Jun 26, 2024 16:06:36.246565653 CEST","10.22.255.140","172.24.204.146","6","180","196"
"87857","Jun 26, 2024 16:06:36.246586253 CEST","172.24.204.146","10.22.255.140","6","52","68"
"87973","Jun 26, 2024 16:06:36.266459045 CEST","10.22.255.140","172.24.204.146","6","52","68"
"92936","Jun 26, 2024 16:06:37.225184040 CEST","172.24.204.146","10.22.255.140","6","60","76"
"93074","Jun 26, 2024 16:06:37.268458122 CEST","10.22.255.140","172.24.204.146","6","52","68"
"93075","Jun 26, 2024 16:06:37.268473922 CEST","172.24.204.146","10.22.255.140","6","52","68"
"96442","Jun 26, 2024 16:06:38.224237119 CEST","172.24.204.146","10.22.255.140","6","60","76"
"100690","Jun 26, 2024 16:06:39.246036488 CEST","10.22.255.140","172.24.204.146","6","60","76"
"100848","Jun 26, 2024 16:06:39.266944779 CEST","172.24.204.146","10.22.255.140","6","52","68"
"100949","Jun 26, 2024 16:06:39.286078671 CEST","10.22.255.140","172.24.204.146","6","52","68"
"106835","Jun 26, 2024 16:06:41.285786227 CEST","10.22.255.140","172.24.204.146","6","52","68"
"106836","Jun 26, 2024 16:06:41.285804727 CEST","172.24.204.146","10.22.255.140","6","52","68"
"113038","Jun 26, 2024 16:06:42.253803218 CEST","172.24.204.146","10.22.255.140","6","60","76"
"113293","Jun 26, 2024 16:06:42.281852506 CEST","172.24.204.146","10.22.255.140","6","52","68"
"113301","Jun 26, 2024 16:06:42.282302206 CEST","172.24.204.146","10.22.255.140","6","52","68"
"113353","Jun 26, 2024 16:06:42.286595004 CEST","10.22.255.140","172.24.204.146","6","1500","1516"
"113354","Jun 26, 2024 16:06:42.286749704 CEST","172.24.204.146","10.22.255.140","6","40","56"
"113355","Jun 26, 2024 16:06:42.286818404 CEST","10.22.255.140","172.24.204.146","6","52","68"
"113356","Jun 26, 2024 16:06:42.286818504 CEST","10.22.255.140","172.24.204.146","6","52","68"
"113357","Jun 26, 2024 16:06:42.286848804 CEST","172.24.204.146","10.22.255.140","6","40","56"
"113358","Jun 26, 2024 16:06:42.286858204 CEST","172.24.204.146","10.22.255.140","6","40","56"
"113359","Jun 26, 2024 16:06:42.286866304 CEST","10.22.255.140","172.24.204.146","6","1500","1516"
"113360","Jun 26, 2024 16:06:42.286871804 CEST","172.24.204.146","10.22.255.140","6","40","56"
"113361","Jun 26, 2024 16:06:42.286885104 CEST","10.22.255.140","172.24.204.146","6","52","68"
